"","listing_id","nearest_stn","stn_distance","dist_centre"
"863",16477283,"PHOENIX LRT STATION",300.184137577839,14606.3288946969
"864",16495388,"OUTRAM PARK MRT STATION",614.110110867354,2217.02874136765
"865",16502098,"KEMBANGAN MRT STATION",264.834112329747,7505.36706525685
"866",16503238,"HILLVIEW MRT STATION",156.555737510558,12774.5625531447
"867",16504076,"FARRER PARK MRT STATION",253.842777627382,3003.66013305128
"868",16519375,"SOMERSET MRT STATION",179.232747263795,2077.13236240233
"869",16521063,"KANGKAR LRT STATION",346.931857402969,11821.2035200085
"870",16522880,"CHINATOWN MRT STATION",116.946329812591,1120.52530081491
"871",16524551,"CHINATOWN MRT STATION",31.4538882486949,1068.78558542798
"872",16537151,"CLEMENTI MRT STATION",1218.14095434168,11102.6534004796
"873",16552273,"LAVENDER MRT STATION",20.4023723943685,2582.55103415972
"874",16578603,"KHATIB MRT STATION",564.695698350804,14760.0248266364
"875",16618127,"ALJUNIED MRT STATION",513.910843377719,4941.0214601443
"876",16620686,"EUNOS MRT STATION",1160.98046597625,5931.19108474958
"877",16621264,"SOMERSET MRT STATION",338.332274767736,2153.11780782397
"878",16650721,"CANBERRA MRT STATION",854.002460947491,17520.7870852609
"879",16677104,"FARRER PARK MRT STATION",398.612636396662,2959.35112529422
"880",16701352,"TANJONG PAGAR MRT STATION",205.140976445135,1538.49174952163
"881",16715096,"WOODLANDS SOUTH MRT STATION",605.464446015042,17074.9108125019
"882",16730755,"TIONG BAHRU MRT STATION",357.424449562288,3151.78515712197
"883",16741251,"FARRER ROAD MRT STATION",799.167145993578,6032.45352849291
"884",16742820,"SOMERSET MRT STATION",254.645033548177,2261.51826505797
"885",16743909,"SOMERSET MRT STATION",359.009717735289,2178.05236760444
"886",16750061,"SOMERSET MRT STATION",160.925888854754,2154.71003713899
"887",16758638,"HOLLAND VILLAGE MRT STATION",120.434430168798,6897.97525941938
"888",16759601,"CANBERRA MRT STATION",823.013089578536,17608.0145410475
"889",16798945,"LAVENDER MRT STATION",284.827270660065,2775.25130477602
"890",16803564,"BENDEMEER MRT STATION",389.995552389981,2871.00249567004
"891",16812677,"CLARKE QUAY MRT STATION",225.73981771152,604.160026671087
"892",16813107,"CLARKE QUAY MRT STATION",40.4575770898728,720.079439205276
"893",16813277,"CLARKE QUAY MRT STATION",245.044235610687,526.995238578883
"894",16813372,"CLARKE QUAY MRT STATION",162.133106683504,696.082441160731
"895",16823251,"TIONG BAHRU MRT STATION",358.741054475019,3206.12035826308
"896",16830276,"CLARKE QUAY MRT STATION",202.51786791675,768.056800117744
"897",16830368,"CLARKE QUAY MRT STATION",140.554568571957,619.803691100966
"898",16830438,"CLARKE QUAY MRT STATION",46.2883116440461,775.026278069085
"899",16830539,"CLARKE QUAY MRT STATION",229.329538757789,771.0811263935
"900",16830612,"CLARKE QUAY MRT STATION",234.206480149421,575.022305579118
"901",16830660,"CLARKE QUAY MRT STATION",240.92725368059,532.274224169114
"902",16830746,"CLARKE QUAY MRT STATION",160.299324305978,604.585934977244
"903",16830915,"CLARKE QUAY MRT STATION",49.6099175685035,765.659101436146
"904",16831020,"CLARKE QUAY MRT STATION",199.139264406201,603.784382331672
"905",16831108,"CLARKE QUAY MRT STATION",232.912937304409,564.048087617103
"906",16832754,"HOLLAND VILLAGE MRT STATION",469.462922063275,6643.98137829858
"907",16846533,"SOMERSET MRT STATION",433.096827230987,2192.69420723612
"908",16848626,"BEDOK MRT STATION",1178.15486711031,9032.75736727529
"909",16848828,"SOMERSET MRT STATION",459.458853344796,2192.71148415488
"910",16857708,"CANBERRA MRT STATION",621.179605838116,17489.708478867
"911",16863370,"BENCOOLEN MRT STATION",269.64938219933,1448.6145590585
"912",16865763,"CLARKE QUAY MRT STATION",230.148714274891,700.004380325363
"913",16881298,"CANBERRA MRT STATION",728.285477889443,17452.345663973
"914",16891958,"LAVENDER MRT STATION",316.264326678956,2394.29040467091
"915",16936558,"SOMERSET MRT STATION",626.582279192949,2171.30750542246
"916",16941236,"NOVENA MRT STATION",704.604014267228,4246.67658309314
"917",16945653,"BRAS BASAH MRT STATION",250.26192210563,1297.14740840226
"918",16964241,"CHINATOWN MRT STATION",34.4325896779759,1083.99479186555
"919",16966634,"FERNVALE LRT STATION",761.530755210953,11255.8900511125
"920",16985394,"FARRER PARK MRT STATION",524.647287873334,2690.80554777351
"921",17004808,"YIO CHU KANG MRT STATION",2051.88294060272,10170.5957438197
"922",17037625,"SOMERSET MRT STATION",426.174024686294,2260.1479996989
"923",17049465,"KING ALBERT PARK MRT STATION",336.165582737735,9645.43676153619
"924",17053896,"ALJUNIED MRT STATION",640.691464324211,4063.21620604104
"925",17084283,"DHOBY GHAUT MRT STATION",394.670869944166,1833.54438322078
"926",17097609,"LABRADOR PARK MRT STATION",337.035760390356,5973.44521610167
"927",17110437,"BENDEMEER MRT STATION",283.675091635126,2999.0540849465
"928",17112396,"CANBERRA MRT STATION",565.269064585234,17546.2854459091
"929",17122972,"KING ALBERT PARK MRT STATION",523.58350587401,9813.4098947003
"930",17123186,"ALJUNIED MRT STATION",167.344830085327,4535.22107519402
"931",17142437,"ALJUNIED MRT STATION",549.433978181996,4152.98081842697
"932",17179470,"MARSILING MRT STATION",126.895781032051,18366.4983946431
"933",17190987,"CLARKE QUAY MRT STATION",135.069470104437,626.463203109305
"934",17191773,"CHINATOWN MRT STATION",337.858594074964,1306.05206518887
"935",17228916,"ESPLANADE MRT STATION",329.464304654928,1096.4572656868
"936",17275135,"SOMERSET MRT STATION",659.489146594316,2630.21144612025
"937",17302758,"LAKESIDE MRT STATION",123.12248381553,16040.7800762669
"938",17410029,"TEN MILE JUNCTION LRT STATION",104.20195846092,14638.0120356627
"939",17414394,"BENDEMEER MRT STATION",356.93842156928,2906.02845604097
"940",17442010,"TANJONG PAGAR MRT STATION",320.831923378191,1656.45183071338
"941",17483368,"LAVENDER MRT STATION",231.891184344219,2751.21044458154
"942",17483524,"DHOBY GHAUT MRT STATION",290.505188781977,1818.80637262269
"943",17488373,"LAVENDER MRT STATION",361.550525499638,2818.41710542945
"944",17519803,"CHINATOWN MRT STATION",37.1313313351116,1135.03299445199
"945",17615250,"LAVENDER MRT STATION",266.128668698164,2824.57460482336
